id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.01,2014-04-24,0.03514993809395457,3.7332785714285714,36.10221374045802,48.50646341463415,10.302,,,7.98325,41.401580645161296,17.061333333333334,,16.276241379310346,,1.0,-0.4,1.0,8.0,49.02479999486139,
AS14.01,2014-04-25,0.08141536789343364,3.346310924369748,30.99753076923077,50.064,7.023666666666666,,,11.4745,51.664,21.10533333333333,,13.513,,1.0,-0.2,0.8,7.0,31.707157476680486,1.0
AS14.01,2014-04-26,0.034928999527391855,5.712555555555555,26.46045945945946,125.556,6.816749999999999,,,9.241,22.672,23.538649999999997,3.148,12.22135,,1.0,-0.2,1.0,8.0,33.69573770194757,1.0
AS14.01,2014-04-27,0.030478923798963695,5.0855483870967735,26.74326190476191,31.25111111111111,,,,7.093166666666666,13.735,,,10.056333333333333,,,0.0,1.0,8.0,35.345777776506225,
AS14.01,2014-04-28,0.0196753225383989,4.561528846153847,37.715360000000004,52.68992307692307,6.615285714285714,,,8.0444,29.402555555555555,,,17.281499999999998,,1.0,-0.8,0.8,8.0,40.411558445397894,
AS14.01,2014-04-29,0.05041256538922342,4.27592125984252,31.59433333333333,56.75552173913043,,38.211,,8.0944,73.57600000000001,20.991,,15.813294117647061,,,-0.15,0.9800000000000001,7.0,34.62949998908574,
AS14.01,2014-04-30,0.06245826014021426,4.109504587155963,27.916639999999997,33.657466666666664,9.242799999999999,,,9.715,9.907333333333334,17.049875,,22.459,,1.0,-0.4,0.77,8.0,33.25753772483681,
AS14.01,2014-05-01,0.03706526814765703,4.00229213483146,29.164128342245988,58.85825,6.74235294117647,,28.098,7.405,40.75419230769231,,,17.971266666666665,,1.0,-0.4,1.0,8.0,35.72820348379223,1.0
AS14.01,2014-05-02,0.04245997627415716,4.01836936936937,27.68501724137931,58.814666666666675,7.260319999999999,,,6.4886,33.7005,,,5.5415,,,-0.2,1.0,8.0,40.66277778369408,
AS14.01,2014-05-03,0.07174088489517204,4.937805970149253,24.22954,32.70182352941177,5.543833333333333,,,8.113800000000001,22.84466666666667,,30.102,16.42866666666667,,,-0.2,1.0,8.0,39.599400010475726,1.0
