id,activity(t-5),attr1(t-5),attr2(t-5),circumplex.arousal(t-5),circumplex.valence(t-5),mood(t-5),activity(t-4),attr1(t-4),attr2(t-4),circumplex.arousal(t-4),circumplex.valence(t-4),mood(t-4),activity(t-3),attr1(t-3),attr2(t-3),circumplex.arousal(t-3),circumplex.valence(t-3),mood(t-3),activity(t-2),attr1(t-2),attr2(t-2),circumplex.arousal(t-2),circumplex.valence(t-2),mood(t-2),activity(t-1),attr1(t-1),attr2(t-1),circumplex.arousal(t-1),circumplex.valence(t-1),mood(t-1),activity(t),attr1(t),attr2(t),circumplex.arousal(t),circumplex.valence(t),mood(t)
AS14.01,0.049092970521542,1770.19863,454.83335,-0.5,0.75,8.0,0.0469908276303643,5259.311000000001,1903.98206,0.0,0.6,7.0,0.0603467983679304,6625.464999999999,4400.015090000001,0.2,0.0,7.0,0.1019166106382234,8200.26146,2673.04842,0.3333333333333333,0.6666666666666666,6.0,0.049238472708441,10566.37222,3454.91607,-1.2,0.0,6.0,0.0591195513385599,4445.998250000001,1853.0986,0.2,0.4,6.0
AS14.01,0.0469908276303643,5259.311000000001,1903.98206,0.0,0.6,7.0,0.0603467983679304,6625.464999999999,4400.015090000001,0.2,0.0,7.0,0.1019166106382234,8200.26146,2673.04842,0.3333333333333333,0.6666666666666666,6.0,0.049238472708441,10566.37222,3454.91607,-1.2,0.0,6.0,0.0591195513385599,4445.998250000001,1853.0986,0.2,0.4,6.0,0.0539062424976144,1743.75176,916.56485,-0.4,0.6,7.0
AS14.01,0.0603467983679304,6625.464999999999,4400.015090000001,0.2,0.0,7.0,0.1019166106382234,8200.26146,2673.04842,0.3333333333333333,0.6666666666666666,6.0,0.049238472708441,10566.37222,3454.91607,-1.2,0.0,6.0,0.0591195513385599,4445.998250000001,1853.0986,0.2,0.4,6.0,0.0539062424976144,1743.75176,916.56485,-0.4,0.6,7.0,0.0249638865044713,2019.5778,679.50165,-0.75,0.5,6.0
AS14.01,0.1019166106382234,8200.26146,2673.04842,0.3333333333333333,0.6666666666666666,6.0,0.049238472708441,10566.37222,3454.91607,-1.2,0.0,6.0,0.0591195513385599,4445.998250000001,1853.0986,0.2,0.4,6.0,0.0539062424976144,1743.75176,916.56485,-0.4,0.6,7.0,0.0249638865044713,2019.5778,679.50165,-0.75,0.5,6.0,0.0354823873123317,3433.64174,1537.71798,-0.6666666666666666,0.25,6.0
AS14.01,0.049238472708441,10566.37222,3454.91607,-1.2,0.0,6.0,0.0591195513385599,4445.998250000001,1853.0986,0.2,0.4,6.0,0.0539062424976144,1743.75176,916.56485,-0.4,0.6,7.0,0.0249638865044713,2019.5778,679.50165,-0.75,0.5,6.0,0.0354823873123317,3433.64174,1537.71798,-0.6666666666666666,0.25,6.0,0.0631268345601101,6084.7689900000005,1736.66227,-0.4,0.3333333333333333,7.0
AS14.01,0.0591195513385599,4445.998250000001,1853.0986,0.2,0.4,6.0,0.0539062424976144,1743.75176,916.56485,-0.4,0.6,7.0,0.0249638865044713,2019.5778,679.50165,-0.75,0.5,6.0,0.0354823873123317,3433.64174,1537.71798,-0.6666666666666666,0.25,6.0,0.0631268345601101,6084.7689900000005,1736.66227,-0.4,0.3333333333333333,7.0,0.0638439128511816,6219.937059999999,2911.99039,-0.8,1.0,7.0
AS14.01,0.0539062424976144,1743.75176,916.56485,-0.4,0.6,7.0,0.0249638865044713,2019.5778,679.50165,-0.75,0.5,6.0,0.0354823873123317,3433.64174,1537.71798,-0.6666666666666666,0.25,6.0,0.0631268345601101,6084.7689900000005,1736.66227,-0.4,0.3333333333333333,7.0,0.0638439128511816,6219.937059999999,2911.99039,-0.8,1.0,7.0,0.0458116168867882,2881.53129,1647.00407,-0.4,0.8,7.0
AS14.01,0.0249638865044713,2019.5778,679.50165,-0.75,0.5,6.0,0.0354823873123317,3433.64174,1537.71798,-0.6666666666666666,0.25,6.0,0.0631268345601101,6084.7689900000005,1736.66227,-0.4,0.3333333333333333,7.0,0.0638439128511816,6219.937059999999,2911.99039,-0.8,1.0,7.0,0.0458116168867882,2881.53129,1647.00407,-0.4,0.8,7.0,0.0512075182489813,3743.23517,1319.7814600000002,-1.2,0.8,7.0
AS14.01,0.0354823873123317,3433.64174,1537.71798,-0.6666666666666666,0.25,6.0,0.0631268345601101,6084.7689900000005,1736.66227,-0.4,0.3333333333333333,7.0,0.0638439128511816,6219.937059999999,2911.99039,-0.8,1.0,7.0,0.0458116168867882,2881.53129,1647.00407,-0.4,0.8,7.0,0.0512075182489813,3743.23517,1319.7814600000002,-1.2,0.8,7.0,0.0572743829835203,1997.64973,769.6004300000001,-0.75,0.75,7.0
AS14.01,0.0631268345601101,6084.7689900000005,1736.66227,-0.4,0.3333333333333333,7.0,0.0638439128511816,6219.937059999999,2911.99039,-0.8,1.0,7.0,0.0458116168867882,2881.53129,1647.00407,-0.4,0.8,7.0,0.0512075182489813,3743.23517,1319.7814600000002,-1.2,0.8,7.0,0.0572743829835203,1997.64973,769.6004300000001,-0.75,0.75,7.0,0.0140213289543707,1326.41215,436.34584,-1.25,1.0,8.0
AS14.01,0.0638439128511816,6219.937059999999,2911.99039,-0.8,1.0,7.0,0.0458116168867882,2881.53129,1647.00407,-0.4,0.8,7.0,0.0512075182489813,3743.23517,1319.7814600000002,-1.2,0.8,7.0,0.0572743829835203,1997.64973,769.6004300000001,-0.75,0.75,7.0,0.0140213289543707,1326.41215,436.34584,-1.25,1.0,8.0,0.0691115971181695,5696.669180000001,1715.56724,-1.2,0.6,7.0
AS14.01,0.0458116168867882,2881.53129,1647.00407,-0.4,0.8,7.0,0.0512075182489813,3743.23517,1319.7814600000002,-1.2,0.8,7.0,0.0572743829835203,1997.64973,769.6004300000001,-0.75,0.75,7.0,0.0140213289543707,1326.41215,436.34584,-1.25,1.0,8.0,0.0691115971181695,5696.669180000001,1715.56724,-1.2,0.6,7.0,0.0794155309980823,5773.18722,3139.80303,0.0,0.8,7.0
AS14.01,0.0512075182489813,3743.23517,1319.7814600000002,-1.2,0.8,7.0,0.0572743829835203,1997.64973,769.6004300000001,-0.75,0.75,7.0,0.0140213289543707,1326.41215,436.34584,-1.25,1.0,8.0,0.0691115971181695,5696.669180000001,1715.56724,-1.2,0.6,7.0,0.0794155309980823,5773.18722,3139.80303,0.0,0.8,7.0,0.0707415618206537,3991.25189,2206.9952900000003,0.75,0.5,7.0
AS14.01,0.0572743829835203,1997.64973,769.6004300000001,-0.75,0.75,7.0,0.0140213289543707,1326.41215,436.34584,-1.25,1.0,8.0,0.0691115971181695,5696.669180000001,1715.56724,-1.2,0.6,7.0,0.0794155309980823,5773.18722,3139.80303,0.0,0.8,7.0,0.0707415618206537,3991.25189,2206.9952900000003,0.75,0.5,7.0,0.0444126410871423,3130.36725,1430.20807,-0.4,0.6,7.0
AS14.01,0.0140213289543707,1326.41215,436.34584,-1.25,1.0,8.0,0.0691115971181695,5696.669180000001,1715.56724,-1.2,0.6,7.0,0.0794155309980823,5773.18722,3139.80303,0.0,0.8,7.0,0.0707415618206537,3991.25189,2206.9952900000003,0.75,0.5,7.0,0.0444126410871423,3130.36725,1430.20807,-0.4,0.6,7.0,0.0639541803528291,2780.4069600000003,832.88756,-0.8,0.8,7.0
AS14.01,0.0691115971181695,5696.669180000001,1715.56724,-1.2,0.6,7.0,0.0794155309980823,5773.18722,3139.80303,0.0,0.8,7.0,0.0707415618206537,3991.25189,2206.9952900000003,0.75,0.5,7.0,0.0444126410871423,3130.36725,1430.20807,-0.4,0.6,7.0,0.0639541803528291,2780.4069600000003,832.88756,-0.8,0.8,7.0,0.0868058857781561,3041.414,950.7512,-0.2,1.0,8.0
AS14.01,0.0794155309980823,5773.18722,3139.80303,0.0,0.8,7.0,0.0707415618206537,3991.25189,2206.9952900000003,0.75,0.5,7.0,0.0444126410871423,3130.36725,1430.20807,-0.4,0.6,7.0,0.0639541803528291,2780.4069600000003,832.88756,-0.8,0.8,7.0,0.0868058857781561,3041.414,950.7512,-0.2,1.0,8.0,0.0571426011979683,3834.62889,1342.19608,-0.25,0.75,7.0
AS14.01,0.0707415618206537,3991.25189,2206.9952900000003,0.75,0.5,7.0,0.0444126410871423,3130.36725,1430.20807,-0.4,0.6,7.0,0.0639541803528291,2780.4069600000003,832.88756,-0.8,0.8,7.0,0.0868058857781561,3041.414,950.7512,-0.2,1.0,8.0,0.0571426011979683,3834.62889,1342.19608,-0.25,0.75,7.0,0.0530076173871965,1442.7579899999998,736.134,-0.25,1.0,8.0
